,DEP,MDEP,FDEP,TEP,MTEP,FTEP,HSP,GDP(GNP),HSPR,JSP,DS
1990,24.6,33.4,15.2,11.7,1.7,22.2,1766917 ,451683 ,95 ,1981503 ,430542 
1991,25.5,34.5,16.1,12.2,1.8,23.1,1803221 ,473608 ,95 ,1860300 ,455855 
1992,26.4,35.2,17.3,12.4,1.8,23.5,1807175 ,483256 ,96 ,1773712 ,472098 
1993,28.0,36.6,19.0,12.9,1.9,24.4,1755338 ,482608 ,96 ,1732437 ,512712 
1994,30.1,38.9,21.0,13.2,2.0,24.9,1658949 ,495612 ,97 ,1680006 ,531177 
1995,32.1,40.7,22.9,13.1,2.1,24.6,1590720 ,504594 ,97 ,1622198 ,557400 
1996,33.4,41.9,24.6,12.7,2.3,23.7,1554549 ,515944 ,97 ,1545270 ,574115 
1997,34.9,43.4,26.0,12.4,2.3,22.9,1503748 ,521295 ,97 ,1510994 ,599962 
1998,36.4,44.9,27.5,11.8,2.2,21.9,1441061 ,510919 ,97 ,1511845 ,597271 
1999,38.2,46.5,29.4,10.9,2.1,20.2,1362682 ,506599 ,97 ,1502711 ,580064 
2000,39.7,47.5,31.5,9.4,1.9,17.2,1328902 ,510835 ,97 ,1464760 ,581958 
2001,39.9,46.9,32.7,8.6,1.8,15.8,1326844 ,501711 ,97 ,1410403 ,590892 
2002,40.5,47.0,33.8,8.1,1.8,14.7,1314809 ,498009 ,97 ,1365471 ,602090 
2003,41.3,47.8,34.4,7.7,1.8,13.9,1281334 ,501889 ,97 ,1325208 ,602887 
2004,42.4,49.3,35.2,7.5,1.8,13.5,1235012 ,502761 ,98 ,1298718 ,587350 
2005,44.2,51.3,36.8,7.3,1.8,13.0,1202738 ,505349 ,98 ,1236363 ,569950 
2006,45.5,52.1,38.5,6.8,1.5,12.4,1171501 ,509106 ,98 ,1211242 ,551382 
2007,47.2,53.5,40.6,6.5,1.4,11.9,1147159 ,513023 ,98 ,1213709 ,553352 
2008,49.1,55.2,42.6,6.3,1.3,11.5,1088170 ,489520 ,98 ,1199309 ,543385 
2009,50.2,55.9,44.2,6.0,1.2,11.1,1063581 ,473996 ,98 ,1188032 ,543981 
2010,50.9,56.4,45.2,5.9,1.3,10.8,1069129 ,480528 ,98 ,1227736 ,553368 
2011,51.0,56.0,45.8,5.7,1.2,10.4,1061564 ,474171 ,98 ,1176923 ,558984 
2012,50.8,55.6,45.8,5.4,1.2,9.8,1053180 ,474636 ,98 ,1195204 ,555537 
2013,49.9,54.0,45.6,5.3,1.1,9.5,1088124 ,483075 ,98 ,1185054 ,573344 
2014,51.5,55.9,47.0,5.2,1.1,9.5,1047392 ,490787 ,98 ,1192990 ,560672 
